JUDGES DETAILS,,,,,,,
"COMPETITION: Oxen cup, Date: 2018-10-27",,,,,,,
"CATEGORY: Seniorer A - Damer, Short Program",,,,,,,
Pl. NAME START No.,,,TOTAL,,TOTAL,TOTAL,DEDUCTION
1 Maria Sandberg 10,,,Segments,,Elements,PC,
IFK Västerås Konståkningsklubb,,,Score,,Score,Score,
"",,,"29,84",=,"16,89","13,95",1
"# EXECUTED ELEMENTS BASE VALUE",GOE,J1,J2,J3,J4,,SCORES
"1 2F< < 1,35","-0,68",-5,-5,-5,-5,,"0,67"
"2 2Lo+2T 3,00","0,13",1,1,1,0,,"3,13"
"3 FCSp3 2,80","0,07",0,0,0,1,,"2,87"
"4 2A<< << 1,10","-0,55",-5,-5,-5,-5,,"0,55"
"5 CCoSp4 3,50","0,53",2,2,1,1,,"4,03"
"6 StSq2 2,60","0,46",3,2,1,1,,"3,06"
"7 LSp3 2,40","0,18",1,1,1,0,,"2,58"
"16,75",,,,,,,"16,89"
PROGRAM COMPONENTS FACTOR,,J1,J2,J3,J4,,
"Skating Skills 0,8",,"3,75","4,00","3,25","3,75",,"3,69"
"Transitions 0,8",,"3,50","3,25","2,50","3,50",,"3,19"
"Performance 0,8",,"3,50","3,75","3,25","3,50",,"3,50"
"Composition 0,8",,"4,00","4,00","2,75","3,75",,"3,63"
"Interpretation 0,8",,"4,00","3,75","2,75","3,25",,"3,44"
"",,,,,,,"13,95"
DEDUCTIONS,,,,,,,
Fall: 1,,,,,,,
JUDGES DETAILS,,,,,,,,
"COMPETITION: Oxen cup, Date: 2018-10-27",,,,,,,,
"CATEGORY: Seniorer A - Damer, Short Program",,,,,,,,
Pl. NAME START No.,,,,TOTAL,,TOTAL,TOTAL,DEDUCTION
2 Vendela Lundström 1,,,,Segments,,Elements,PC,
Göteborgs Konståkningsklubb,,,,Score,,Score,Score,
"",,,,"29,69",=,"16,49","13,20",0
"# EXECUTED ELEMENTS BASE VALUE",,GOE,J1,J2,J3,J4,,SCORES
"1 2F+2T 3,10",,"0,00",0,0,0,0,,"3,10"
"2 1A* * 0,00",,"0,00",--,--,--,--,,"0,00"
"3 CCoSp4 3,50",,"0,35",0,2,2,0,,"3,85"
"4 2Lo 1,87",x,"0,09",1,0,1,0,,"1,96"
"5 LSp2 1,90",,"-0,19",0,-1,-1,-2,,"1,71"
"6 StSq3 3,30",,"0,17",0,1,1,0,,"3,47"
"7 FSSp3 2,60",,"-0,20",0,0,-1,-2,,"2,40"
"16,27",,,,,,,,"16,49"
PROGRAM COMPONENTS FACTOR,,,J1,J2,J3,J4,,
"Skating Skills 0,8",,,"3,50","3,75","3,25","3,25",,"3,44"
"Transitions 0,8",,,"3,00","3,50","3,00","3,00",,"3,13"
"Performance 0,8",,,"3,50","4,00","3,00","3,25",,"3,44"
"Composition 0,8",,,"3,25","3,50","3,00","3,25",,"3,25"
"Interpretation 0,8",,,"3,00","3,75","3,25","3,00",,"3,25"
"",,,,,,,,"13,20"
DEDUCTIONS,,,,,,,,
JUDGES DETAILS,,,,,,,
"COMPETITION: Oxen cup, Date: 2018-10-27",,,,,,,
"CATEGORY: Seniorer A - Damer, Short Program",,,,,,,
Pl. NAME START No.,,,TOTAL,,TOTAL,TOTAL,DEDUCTION
3 Lovisa Mattsson 9,,,Segments,,Elements,PC,
Konståkningsklubben Sollentuna,,,Score,,Score,Score,
"",,,"26,81",=,"13,96","12,85",0
"# EXECUTED ELEMENTS BASE VALUE",GOE,J1,J2,J3,J4,,SCORES
"1 2A<< << 1,10","-0,55",-5,-5,-5,-5,,"0,55"
"2 1F* * 0,00","0,00",--,--,--,--,,"0,00"
"3 2S+1Lo* * 1,30","-0,65",-5,-5,-5,-5,,"0,65"
"4 CCoSp3 3,00","0,23",0,1,1,1,,"3,23"
"5 StSq3 3,30","0,41",1,2,1,1,,"3,71"
"6 FSSp4 3,00","0,30",1,1,1,1,,"3,30"
"7 LSp3 2,40","0,12",0,1,1,0,,"2,52"
"14,10",,,,,,,"13,96"
PROGRAM COMPONENTS FACTOR,,J1,J2,J3,J4,,
"Skating Skills 0,8",,"3,75","4,00","3,00","3,50",,"3,56"
"Transitions 0,8",,"3,25","3,50","2,50","3,25",,"3,13"
"Performance 0,8",,"3,00","3,00","2,50","3,25",,"2,94"
"Composition 0,8",,"3,50","3,50","2,00","3,50",,"3,13"
"Interpretation 0,8",,"3,75","3,75","2,50","3,25",,"3,31"
"",,,,,,,"12,85"
DEDUCTIONS,,,,,,,
JUDGES DETAILS,,,,,,,,
"COMPETITION: Oxen cup, Date: 2018-10-27",,,,,,,,
"CATEGORY: Seniorer A - Damer, Short Program",,,,,,,,
Pl. NAME START No.,,,,TOTAL,,TOTAL,TOTAL,DEDUCTION
4 Greta Lundkvist 8,,,,Segments,,Elements,PC,
Lidköpings Konståkningsklubb,,,,Score,,Score,Score,
"",,,,"26,36",=,"13,61","12,75",0
"# EXECUTED ELEMENTS BASE VALUE",,GOE,J1,J2,J3,J4,,SCORES
"1 2Lz+2Lo< <! 3,38",,"-1,05",-5,-5,-5,-5,,"2,33"
"2 A* * 0,00",,"0,00",--,--,--,--,,"0,00"
"3 FSSp1 2,00",,"-0,45",-2,-2,-3,-2,,"1,55"
"4 StSq2 2,60",,"-0,07",-1,1,-1,0,,"2,53"
"5 2F 1,98",x,"0,09",0,1,0,1,,"2,07"
"6 CCoSp3V V 2,25",,"0,12",0,1,1,0,,"2,37"
"7 LSp3 2,40",,"0,36",1,2,2,1,,"2,76"
"14,61",,,,,,,,"13,61"
PROGRAM COMPONENTS FACTOR,,,J1,J2,J3,J4,,
"Skating Skills 0,8",,,"3,25","3,75","3,00","3,50",,"3,38"
"Transitions 0,8",,,"3,00","3,25","2,50","3,25",,"3,00"
"Performance 0,8",,,"3,00","3,50","3,00","3,50",,"3,25"
"Composition 0,8",,,"3,25","3,25","2,75","3,75",,"3,25"
"Interpretation 0,8",,,"3,25","3,25","2,50","3,25",,"3,06"
"",,,,,,,,"12,75"
DEDUCTIONS,,,,,,,,
JUDGES DETAILS,,,,,,,,
"COMPETITION: Oxen cup, Date: 2018-10-27",,,,,,,,
"CATEGORY: Seniorer A - Damer, Short Program",,,,,,,,
Pl. NAME START No.,,,,TOTAL,,TOTAL,TOTAL,DEDUCTION
5 Ofelia Eilertz 4,,,,Segments,,Elements,PC,
Mariestads Konståkningsklubb,,,,Score,,Score,Score,
"",,,,"23,14",=,"12,09","12,05",1
"# EXECUTED ELEMENTS BASE VALUE",,GOE,J1,J2,J3,J4,,SCORES
"1 1A* * 0,00",,"0,00",--,--,--,--,,"0,00"
"2 CCoSp4 3,50",,"-0,35",-1,-1,0,-2,,"3,15"
"3 StSq2 2,60",,"0,13",1,1,0,0,,"2,73"
"4 2Lz+2T ! 3,40",,"-1,05",-5,-5,-5,-5,,"2,35"
"5 FSSp2 2,30",,"-0,63",-3,-3,-2,-3,,"1,67"
"6 2F e e 1,49",x,"-0,61",-4,-5,-4,-5,,"0,88"
