"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
1,Elizaveta TUKTAMYSHEVA,RUS,8,74.22,42.39,31.83,0.00
"",Executed Base,,,,,,,,,,,,,,Scores of
"#",,,GOE,,J1,J2,J3,J4,J5 Info,J6,J7,J8,J9,Ref,
"",Elements Value,,,,,,,,,,,,,,Panel
1,3A  8.00,,,1.03,3,1,3,0,3,-1,0,4,-1,,9.03
2,3T+3T  8.40,,,1.14,3,3,3,3,3,2,2,3,2,,9.54
3,FSSp4  3.00,,,0.69,2,2,3,2,3,2,2,3,1,,3.69
4,LSp4  2.70,,,0.54,2,2,2,2,2,2,2,3,-1,,3.24
5,3Lz  6.49,x,,1.85,3,4,3,3,4,2,3,3,3,,8.34
6,StSq3  3.30,,,0.90,4,2,3,2,3,1,3,3,3,,4.20
7,CCoSp4  3.50,,,0.85,3,2,3,1,4,0,3,2,3,,4.35
"",35.39,,,,,,,,,,,,,,42.39
"",Program Components,,,Factor,,,,,,,,,,,
"",Skating Skills,,,0.80,8.50,8.50,8.75,7.75,7.75,7.50,8.00,8.25,7.75,,8.07
"",Transitions,,,0.80,8.00,7.75,8.50,7.00,7.25,6.25,8.00,8.00,6.25,,7.46
"",Performance,,,0.80,8.25,8.50,8.75,7.25,7.75,7.50,8.50,8.50,8.00,,8.14
"",Composition,,,0.80,8.25,8.25,8.75,7.50,7.75,7.00,8.50,8.00,7.75,,8.00
"",Interpretation of the Music,,,0.80,8.00,8.50,8.75,7.25,7.75,7.50,8.25,8.50,8.25,,8.11
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,31.83
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
2,Wakaba HIGUCHI,JPN,11,66.51,34.02,32.49,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,2A,3.30,,,0.94,3,3,3,3,3,2,3,4,2,,4.24
2,FCSp4,3.20,,,0.64,2,3,3,2,2,1,1,3,1,,3.84
3,3Lz+3T,10.10,,,1.43,2,2,2,2,3,3,1,3,3,,11.53
4,CCoSp4,3.50,,,0.70,2,2,3,2,3,1,2,2,1,,4.20
5,3Fe< e,3.50,x,,-1.18,-3,-5,-2,-4,-3,-2,-4,-5,-5,,2.32
6,StSq3,3.30,,,1.08,3,2,3,3,3,4,4,4,3,,4.38
7,LSp4,2.70,,,0.81,3,4,3,3,2,3,3,3,3,,3.51
"",,29.60,,,,,,,,,,,,,,34.02
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,8.00,8.00,7.75,8.25,7.75,8.50,8.25,8.75,9.00,,8.21
"",Transitions,,,,0.80,7.50,7.25,7.50,7.50,7.25,6.50,8.00,8.25,8.75,,7.61
"",Performance,,,,0.80,7.75,8.50,8.25,8.50,8.00,8.50,8.00,8.75,9.00,,8.36
"",Composition,,,,0.80,8.00,8.00,8.00,8.75,7.75,7.25,8.00,8.50,9.25,,8.14
"",Interpretation of the Music,,,,0.80,7.75,8.00,8.25,8.25,8.00,8.50,8.50,8.50,9.00,,8.29
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,32.49
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
3,Mako YAMASHITA,JPN,6,66.30,35.41,30.89,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
"#",,,,GOE,,J1,J2,J3,J4,J5 Info,J6,J7,J8,J9,Ref,
"",Elements,Value,,,,,,,,,,,,,,Panel
1,3Lz+3T,10.10,,,1.77,3,3,3,3,4,3,3,3,3,,11.87
2,2A,3.30,,,0.90,2,3,2,3,3,3,3,3,2,,4.20
3,FCSp4,3.20,,,0.50,1,2,2,2,2,1,1,2,1,,3.70
4,SSp4,2.50,,,0.64,2,4,2,3,2,4,2,3,2,,3.14
5,3Fe e,4.38,x,,-0.57,-1,-2,0,-2,-2,-2,-1,0,-3,,3.81
6,StSq3,3.30,,,0.94,2,2,2,3,3,3,4,3,4,,4.24
7,CCoSp4,3.50,,,0.95,3,3,3,2,3,2,3,3,2,,4.45
"",,30.28,,,,,,,,,,,,,,35.41
"",Program Components,,,,Factor,,,,,,,,,,,
"",Skating Skills,,,,0.80,7.50,7.75,7.25,8.25,7.50,7.75,7.75,8.75,8.25,,7.82
"",Transitions,,,,0.80,7.00,7.25,7.25,8.00,7.50,7.00,7.25,7.75,8.50,,7.43
"",Performance,,,,0.80,7.25,8.00,7.50,8.00,7.75,7.25,7.50,8.25,8.25,,7.75
"",Composition,,,,0.80,7.25,8.00,7.25,8.75,7.50,7.00,7.75,8.25,8.50,,7.79
"",Interpretation of the Music,,,,0.80,7.00,7.75,7.50,8.50,7.75,7.25,7.75,8.25,8.50,,7.82
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,30.89
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
4,Starr ANDREWS,USA,3,64.77,36.16,28.61,0.00
"",Executed Base,,,,,,,,,,,,,,Scores of
"#",,,GOE,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,
"",Elements Value,,,,,,,,,,,,,,Panel
1,3T+3T  8.40,,,1.02,2,2,2,2,2,3,3,4,3,,9.42
2,CCoSp4  3.50,,,0.85,1,2,3,2,3,2,3,3,2,,4.35
3,FCSp4  3.20,,,0.87,1,3,2,2,3,3,3,4,3,,4.07
4,2A  3.30,,,0.66,1,2,2,2,3,2,3,2,1,,3.96
5,StSq3  3.30,,,0.71,1,2,1,2,1,4,4,3,2,,4.01
6,3Lo  5.39,x,,1.26,2,2,2,3,2,3,4,4,2,,6.65
7,LSp4  2.70,,,1.00,2,4,3,4,3,4,4,4,4,,3.70
"",29.79,,,,,,,,,,,,,,36.16
"",Program Components,,,Factor,,,,,,,,,,,
"",Skating Skills,,,0.80,6.75,7.75,6.75,6.50,6.75,6.50,7.00,7.50,7.75,,7.00
"",Transitions,,,0.80,6.25,7.00,6.50,6.50,6.25,6.75,7.50,7.00,7.75,,6.79
"",Performance,,,0.80,6.50,7.75,7.25,7.50,6.75,7.25,7.50,7.25,8.00,,7.32
"",Composition,,,0.80,7.00,7.50,7.00,7.00,6.75,7.50,7.50,7.50,8.00,,7.29
"",Interpretation of the Music,,,0.80,6.75,7.50,7.25,7.25,6.75,7.50,7.75,7.50,7.75,,7.36
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,28.61
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
5,Mariah BELL,USA,7,63.35,32.21,31.14,0.00
"",Executed,Base,,,,,,,,,,,,,,Scores of
