"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
1,Matilda ALGOTSSON,SWE,10,47.01,24.93,22.08,0.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,IJn8fo,J9,Ref,Panel
1,3Lz+COMBO  6.00,-2.10,-3,-3,-3,-3,-3,,,,,,3.90
2,3S  4.40,-1.63,-2,-3,-2,-3,-2,,,,,,2.77
3,FCSp3  2.80,0.50,1,1,0,1,1,,,,,,3.30
4,2A  3.30,-0.67,-1,-2,-1,-1,-2,,,,,,2.63
5,LSp4  2.70,0.83,2,2,1,2,1,,,,,,3.53
6,StSq3  3.30,1.00,2,2,2,3,2,,,,,,4.30
7,CCoSp4  3.50,1.00,2,2,2,2,2,,,,,,4.50
"",26.00,,,,,,,,,,,,24.93
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"6,25","5,75","5,75","5,25","5,75",,,,,,5.75
"",Transitions,0.80,"6,00","5,25","5,50","5,25","5,50",,,,,,5.42
"",Performance,0.80,"6,50","5,50","5,50","5,25","5,25",,,,,,5.42
"",Composition,0.80,"6,50","5,50","5,50","5,50","5,50",,,,,,5.50
"",Interpretation of the Music,0.80,"6,50","5,25","5,75","5,25","5,50",,,,,,5.50
"",Judges Total Program Component Score (factored),,,,,,,,,,,,22.08
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
2,Sallianna ÖZTURK,FIN,3,43.74,24.68,21.06,2.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,Panel
1,StSq2  2.60,0.83,2,2,1,2,1,,,,,,3.43
2,3S+2T  5.70,1.40,2,2,1,2,2,,,,,,7.10
3,3F<< <<  2.09,x -0.90,-3,-3,-3,-3,-3,,,,,,1.19
4,FCSp3  2.80,0.33,1,2,0,1,0,,,,,,3.13
5,LSp4  2.70,1.00,2,2,2,3,2,,,,,,3.70
6,2A  3.63,x -1.50,-3,-3,-3,-3,-3,,,,,,2.13
7,CCoSp4  3.50,0.50,1,2,0,1,1,,,,,,4.00
"",23.02,,,,,,,,,,,,24.68
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"5,50","5,50","5,50","5,25","5,50",,,,,,5.50
"",Transitions,0.80,"4,75","5,00","5,00","5,00","5,25",,,,,,5.00
"",Performance,0.80,"5,50","5,25","5,00","4,75","5,25",,,,,,5.17
"",Composition,0.80,"5,25","5,50","5,00","5,25","5,50",,,,,,5.33
"",Interpretation of the Music,0.80,"5,75","5,25","5,25","5,00","5,50",,,,,,5.33
"",Judges Total Program Component Score (factored),,,,,,,,,,,,21.06
Deductions,Falls:,-2.00(2),-2.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
3,Isabelle PAULSSON,SWE,12,35.86,18.92,17.94,1.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,InfoJ8,J9,Ref,Panel
1,3S<+COMBO <  3.10,-2.10,-3,-3,-3,-3,-3,,,,,,1.00
2,2T* *  0.00,0.00,-,-,-,-,-,,,,,,0.00
3,CCoSp4  3.50,0.50,1,1,1,2,1,,,,,,4.00
4,2A  3.63,x  0.33,0,1,1,2,0,,,,,,3.96
5,LSp4  2.70,0.83,1,2,2,2,1,,,,,,3.53
6,StSq2  2.60,0.33,0,1,1,1,0,,,,,,2.93
7,FSSp4  3.00,0.50,1,1,1,1,0,,,,,,3.50
"",18.53,,,,,,,,,,,,18.92
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"4,25","5,25","4,75","4,75","4,50",,,,,,4.67
"",Transitions,0.80,"3,75","4,50","4,50","5,00","4,25",,,,,,4.42
"",Performance,0.80,"4,00","4,75","4,50","5,00","4,25",,,,,,4.50
"",Composition,0.80,"4,00","5,00","4,50","4,75","4,25",,,,,,4.50
"",Interpretation of the Music,0.80,"4,00","4,50","4,50","5,00","4,00",,,,,,4.33
"",Judges Total Program Component Score (factored),,,,,,,,,,,,17.94
Deductions,Falls:,-1.00(1),-1.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
4,Esmeralda ANDERSSON,SWE,8,33.09,18.23,15.86,1.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,Panel
1,2Lz+3T<< <<  3.40,-0.90,-3,-3,-3,-3,-3,,,,,,2.50
2,2A<< <<  1.10,-0.60,-3,-3,-3,-3,-3,,,,,,0.50
3,3Lo<< <<  1.80,-0.90,-3,-3,-3,-3,-3,,,,,,0.90
4,FSSp4  3.00,0.33,0,1,1,1,0,,,,,,3.33
5,LSp4  2.70,0.50,1,1,0,1,1,,,,,,3.20
6,StSq3  3.30,0.50,1,1,1,1,0,,,,,,3.80
7,CCoSp4  3.50,0.50,2,1,0,1,1,,,,,,4.00
"",18.80,,,,,,,,,,,,18.23
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"4,25","4,25","3,75","4,00","4,00",,,,,,4.08
"",Transitions,0.80,"3,75","3,75","3,50","3,50","3,75",,,,,,3.67
"",Performance,0.80,"4,25","4,00","3,75","3,25","4,00",,,,,,3.92
"",Composition,0.80,"4,25","4,25","3,50","4,00","4,00",,,,,,4.08
"",Interpretation of the Music,0.80,"4,00","4,00","3,75","4,25","4,25",,,,,,4.08
"",Judges Total Program Component Score (factored),,,,,,,,,,,,15.86
Deductions,Falls:,-1.00(1),-1.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
5,Isabelle RAGNARSSON,SWE,9,26.81,12.33,15.48,1.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,InfoJ8,J9,Ref,Panel
1,3Lo<< <<  1.80,-0.90,-3,-3,-3,-3,-3,,,,,,0.90
2,CSp1  1.40,-0.30,-1,-1,-1,0,-1,,,,,,1.10
3,1A<<* *  0.00,0.00,-,-,-,-,-,,,,,,0.00
4,2F+COMBO  1.90,-0.90,-3,-3,-3,-3,-3,,,,,,1.00
5,CCoSp4  3.50,0.33,1,1,0,1,0,,,,,,3.83
6,StSq2  2.60,0.50,1,1,1,0,1,,,,,,3.10
7,FSSp3  2.60,-0.20,0,-1,-1,-1,0,,,,,,2.40
"",13.80,,,,,,,,,,,,12.33
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"4,00","4,00","4,25","4,00","4,00",,,,,,4.00
"",Transitions,0.80,"3,75","3,50","3,75","3,25","3,75",,,,,,3.67
"",Performance,0.80,"4,25","3,75","3,75","2,75","3,75",,,,,,3.75
"",Composition,0.80,"4,25","4,00","3,75","3,25","4,00",,,,,,3.92
"",Interpretation of the Music,0.80,"4,25","3,75","4,00","3,75","4,25",,,,,,4.00
"",Judges Total Program Component Score (factored),,,,,,,,,,,,15.48
Deductions,Falls:,-1.00(1),-1.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
6,Ebba LINDEVRET,SWE,4,25.89,11.77,14.12,0.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,Panel
1,2A< <  2.30,-1.50,-3,-3,-3,-3,-3,,,,,,0.80
2,LSp3  2.40,0.17,1,0,0,1,0,,,,,,2.57
3,3S<<+COMBO <<  1.30,-0.60,-3,-3,-3,-3,-3,,,,,,0.70
4,FSSp4  3.00,0.00,0,-2,0,0,0,,,,,,3.00
5,StSq1  1.80,0.00,0,0,0,0,0,,,,,,1.80
6,2Lo<<* *  0.00,x  0.00,-,-,-,-,-,,,,,,0.00
7,CCoSp3  3.00,-0.10,-2,-1,0,0,0,,,,,,2.90
"",13.80,,,,,,,,,,,,11.77
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"4,00","3,25","3,75","3,75","3,75",,,,,,3.75
"",Transitions,0.80,"3,50","3,25","3,50","3,50","3,50",,,,,,3.50
"",Performance,0.80,"3,50","3,00","3,50","2,75","3,50",,,,,,3.33
"",Composition,0.80,"3,50","3,25","3,50","3,50","3,75",,,,,,3.50
"",Interpretation of the Music,0.80,"3,75","3,00","3,75","3,50","3,50",,,,,,3.58
"",Judges Total Program Component Score (factored),,,,,,,,,,,,14.12
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
7,Camilla SCHJÖTT HANNEVIG,NOR,1,24.58,11.10,14.48,1.00
"",Executed,Base,,,,,,,,,,,,,,,Scores of
"#",Elements,Value,,GOE,,J1,J2,J3,J4,J5,J6,J7,InfoJ8,,J9,Ref,Panel
1,2A<< <<,1.10,,,-0.60,-3,-2,-3,-3,-3,,,,,,,0.50
2,LSp4,2.70,,,0.50,1,1,1,2,1,,,,,,,3.20
3,2T+2T* *,1.30,,,-0.60,-3,-3,-3,-3,-3,,,,,,,0.70
4,2S<<* *,0.00,x,,0.00,-,-,-,-,-,,,,,,,0.00
5,FSSp3,2.60,,,-0.20,-1,-2,0,0,-1,,,,,,,2.40
6,StSq1,1.80,,,0.00,0,0,0,0,0,,,,,,,1.80
7,CCoSp2,2.50,,,0.00,0,0,0,0,0,,,,,,,2.50
"",,12.00,,,,,,,,,,,,,,,11.10
"",Program Components,,,,Factor,,,,,,,,,,,,
"",Skating Skills,,,,0.80,"4,00","3,50","3,75","3,25","4,00",,,,,,,3.75
"",Transitions,,,,0.80,"3,50","3,25","3,50","2,75","3,50",,,,,,,3.42
"",Performance,,,,0.80,"3,75","3,50","3,75","2,75","3,75",,,,,,,3.67
"",Composition,,,,0.80,"4,00","3,25","3,75","3,00","4,00",,,,,,,3.67
"",Interpretation of the Music,,,,0.80,"3,75","3,00","4,00","3,25","3,75",,,,,,,3.58
"",Judges Total Program Component Score (factored),,,,,,,,,,,,,,,,14.48
Deductions,Falls:,-1.00(1),-1.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
8,Olga BYLUND,SWE,7,23.57,11.23,12.34,0.00
"",Executed Base,,,,,,,,,,,,Scores of
"#",GOE Elements Value,,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,Panel
1,LSp3  2.40,-0.10,0,0,-1,0,-1,,,,,,2.30
2,2A<< <<  1.10,-0.60,-3,-3,-3,-3,-3,,,,,,0.50
3,2Lo* *  0.00,0.00,-,-,-,-,-,,,,,,0.00
4,StSq1  1.80,-0.10,-1,0,-1,0,0,,,,,,1.70
5,2T+1T* *  1.43,x -0.60,-3,-3,-3,-3,-3,,,,,,0.83
6,FSSp3  2.60,0.00,0,0,-1,0,0,,,,,,2.60
7,CCoSp4  3.50,-0.20,-1,0,-1,-1,0,,,,,,3.30
"",12.83,,,,,,,,,,,,11.23
"",Program Components,Factor,,,,,,,,,,,
"",Skating Skills,0.80,"3,25","3,00","3,25","2,50","3,50",,,,,,3.17
"",Transitions,0.80,"3,25","2,75","3,00","2,00","3,25",,,,,,3.00
"",Performance,0.80,"3,50","3,00","3,25","2,25","3,25",,,,,,3.17
"",Composition,0.80,"3,00","3,25","3,00","2,00","3,50",,,,,,3.08
"",Interpretation of the Music,0.80,"3,00","2,75","3,25","2,25","3,50",,,,,,3.00
"",Judges Total Program Component Score (factored),,,,,,,,,,,,12.34
Deductions,0.00
"",,,Starting,Total,Total,Total,Total
Rank,Name,Nation,Number,Segment,Element,Program  Component,Deductions
"",,,,Score,Score,Score (factored),
9,Maria SANDBERG,SWE,2,23.52,9.70,13.82,0.00
